RESULTS (Output Conditions),,,,,,,,,,,,,,,
t(oC) out,P (dbars) out,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm)
0,0,8.501613676,115.6427019,116.1530739,1806.682367,237.1153991,7.270471041,117.4986206,1.591529692,0,0,9.325187479,5.683456082,3.571560387,116.843777
0,0,8.501484421,115.6855782,116.1961394,1806.814399,237.0621625,7.27316668,117.4735366,1.591056092,0,0,9.326365917,5.682180046,3.570758509,116.8870986
0,0,8.501332618,115.7359523,116.2467358,1806.969438,236.9996491,7.276333705,117.4440809,1.590500051,0,0,9.327750398,5.680681651,3.569816897,116.9379959
0,0,8.501159364,115.7934682,116.3045055,1807.146353,236.9283158,7.279949737,117.4104683,1.589865676,0,0,9.329331124,5.678971852,3.568742436,116.9961092
0,0,8.500966495,115.8575253,116.3688453,1807.343256,236.8489238,7.283977011,117.3730573,1.589159779,0,0,9.331091572,5.677068894,3.567546592,117.0608315
0,0,8.500757327,115.9270312,116.438658,1807.556749,236.7628428,7.288346856,117.3324927,1.588394581,0,0,9.333001706,5.675005605,3.566249993,117.1310593
0,0,8.500532958,116.0016292,116.5135852,1807.7857,236.6705296,7.293036841,117.2889897,1.587574183,0,0,9.335051709,5.672792936,3.564859522,117.2064321
0,0,8.500296336,116.0803469,116.5926503,1808.027091,236.5732017,7.297985836,117.2431216,1.586709441,0,0,9.337214845,5.670460067,3.563393516,117.2859674
0,0,8.500048932,116.1627021,116.675369,1808.279411,236.4714677,7.303163515,117.1951749,1.585805798,0,0,9.339477847,5.668021591,3.561861144,117.3691779
0,0,8.499791477,116.2484576,116.7615029,1808.541905,236.3656326,7.308554973,117.1452932,1.584865992,0,0,9.341834189,5.66548481,3.560266998,117.4558241
0,0,8.499526554,116.3367589,116.8501939,1808.811931,236.256761,7.314106488,117.0939779,1.583899506,0,0,9.344260381,5.662875251,3.558627115,117.5450425
0,0,8.499258228,116.4262546,116.9400846,1809.085342,236.146526,7.319733093,117.0420176,1.582921209,0,0,9.346719282,5.660233012,3.556966696,117.6354677
0,0,8.498987238,116.5167006,117.0309298,1809.361382,236.0352319,7.325419448,116.9895555,1.58193381,0,0,9.349204185,5.657565384,3.555290324,117.7268531
0,0,8.498719507,116.6061199,117.1207437,1809.634017,235.9253112,7.331041248,116.9377383,1.58095889,0,0,9.351660767,5.654930678,3.553634639,117.8172011
0,0,8.498455038,116.6945093,117.2095232,1809.903249,235.8167637,7.336598299,116.8865661,1.579996436,0,0,9.354088949,5.652328888,3.551999639,117.9065085
0,0,8.498198649,116.7802542,117.2956465,1810.164175,235.7115657,7.341989093,116.8369706,1.579063951,0,0,9.356444382,5.649807378,3.550415088,117.993144
0,0,8.497952202,116.8627269,117.3784833,1810.414911,235.6104765,7.347174166,116.7893101,1.578168139,0,0,9.358709831,5.647384357,3.548892428,118.0764733
0,0,8.497716073,116.9417947,117.4579,1810.655082,235.5136477,7.352145166,116.7436563,1.577310313,0,0,9.36088166,5.645063453,3.547433941,118.1563623
0,0,8.4974899,117.0175731,117.5340128,1810.885065,235.4209269,7.356909362,116.6999376,1.576489092,0,0,9.362963055,5.642841013,3.54603733,118.2329277
0,0,8.497279995,117.0879398,117.6046901,1811.098453,235.3348974,7.361333326,116.6593723,1.57572732,0,0,9.364895737,5.640778957,3.544741507,118.3040252
0,0,8.497093787,117.1503936,117.6674196,1811.287707,235.2585982,7.365259806,116.6233938,1.575051857,0,0,9.366611026,5.63895013,3.543592247,118.3671277
0,0,8.49693834,117.202553,117.7198091,1811.445666,235.194916,7.368539071,116.593364,1.574488198,0,0,9.368043537,5.637423723,3.542633032,118.4198288
0,0,8.496815523,117.2437779,117.761216,1811.570447,235.1446099,7.371130889,116.5696411,1.574043001,0,0,9.369175716,5.636217927,3.541875294,118.4614819
0,0,8.496728688,117.2729327,117.7904994,1811.65866,235.1090467,7.372963852,116.5528702,1.573728312,0,0,9.369976392,5.635365507,3.541339621,118.4909395
0,0,8.49667933,117.2895075,117.8071474,1811.708797,235.0888336,7.374005915,116.5433381,1.573549466,0,0,9.370431581,5.634881017,3.541035162,118.5076865
0,0,8.496663001,117.2949916,117.8126557,1811.725384,235.0821467,7.374350698,116.5401846,1.573490302,0,0,9.370582187,5.634720736,3.540934439,118.5132275
0,0,8.496675619,117.2907539,117.8083993,1811.712567,235.0873139,7.374084273,116.5426214,1.57353602,0,0,9.370465809,5.63484459,3.54101227,118.5089458
0,0,8.496710133,117.2791635,117.7967577,1811.677508,235.1014478,7.373355583,116.5492867,1.573661076,0,0,9.370147507,5.635183368,3.541225163,118.497235
0,0,8.496758747,117.2628396,117.7803618,1811.628125,235.121357,7.372329301,116.5586755,1.573837239,0,0,9.369699209,5.635660574,3.541525046,118.4807416
0,0,8.496815523,117.2437779,117.761216,1811.570447,235.1446099,7.371130889,116.5696411,1.574043001,0,0,9.369175716,5.636217927,3.541875294,118.4614819
0,0,8.496874151,117.2240973,117.7414485,1811.510884,235.168623,7.369893566,116.580965,1.574255504,0,0,9.368635222,5.6367935,3.542236992,118.4415969
0,0,8.496927209,117.2062886,117.7235613,1811.456975,235.1903565,7.368773933,116.5912139,1.574447845,0,0,9.368146132,5.637314435,3.542564354,118.4236033
0,0,8.496970619,117.1917204,117.7089287,1811.412868,235.2081387,7.367858025,116.5995993,1.574605226,0,0,9.367746032,5.637740659,3.542832199,118.4088837
0,0,8.49699696,117.1828809,117.7000502,1811.386102,235.2189296,7.367302287,116.6046879,1.574700734,0,0,9.367503266,5.637999308,3.542994738,118.3999524
0,0,8.49700067,117.181636,117.6987998,1811.382332,235.2204495,7.367224018,116.6054046,1.574714186,0,0,9.367469075,5.638035738,3.543017631,118.3986946
0,0,8.496976926,117.1896038,117.7068028,1811.406459,235.2107224,7.367724956,116.6008177,1.574628094,0,0,9.367687903,5.637802589,3.542871116,118.4067452
0,0,8.496919789,117.2087792,117.7260628,1811.464515,235.1873169,7.368930512,116.5897805,1.574420944,0,0,9.368214531,5.637241577,3.542518569,118.4261197
0,0,8.496829253,117.2391688,117.7565865,1811.556499,235.1502332,7.370841113,116.5722929,1.574092763,0,0,9.369049135,5.636352713,3.541959995,118.4568249
0,0,8.496704195,117.2811574,117.7987605,1811.68354,235.0990161,7.373480943,116.54814,1.57363956,0,0,9.370202266,5.635125083,3.541188536,118.4992497
0,0,8.496546459,117.334137,117.8519738,1811.843752,235.0344265,7.376811773,116.5176801,1.573068118,0,0,9.371657204,5.633576923,3.540215651,118.5527794
0,0,8.496361969,117.3961294,117.9142399,1812.031101,234.9588968,7.380709246,116.4820599,1.572400013,0,0,9.373359607,5.631766541,3.539077982,118.6154158
0,0,8.496156279,117.4652794,117.9836951,1812.239931,234.8747076,7.385056716,116.4423545,1.571655472,0,0,9.375258502,5.629748597,3.537809879,118.685284
0,0,8.495934576,117.5398531,118.0585979,1812.464963,234.7839872,7.389745173,116.3995672,1.570853362,0,0,9.377306258,5.627574106,3.5364434,118.7606322
0,0,8.495703164,117.6177371,118.1368255,1812.699787,234.6893196,7.394641746,116.3549164,1.570016563,0,0,9.379444826,5.625305003,3.535017465,118.839325
0,0,8.495465753,117.6976876,118.2171289,1812.940634,234.5922247,7.399668246,116.3091188,1.569158532,0,0,9.38164005,5.622977719,3.533554969,118.9201059
