RESULTS (Input Conditions),,,,,,,,,,,,,,,,,,,,
Salinity,t(oC) in,P (dbars) in,Total P (mmol/kgSW),Total Si (mmol/kgSW),TA in (mmol/kgSW),TCO2 in (mmol/kgSW),pH in,fCO2 in (matm),pCO2 in (matm),HCO3 in (mmol/kgSW),CO3 in (mmol/kgSW),CO2 in (mmol/kgSW),B Alk in (mmol/kgSW),OH in (mmol/kgSW),P Alk in (mmol/kgSW),Si Alk in (mmol/kgSW) ,Revelle in,WCa in,WAr in,xCO2 in (dry at 1 atm) (ppm)
35,20,0,0.00,0.00,2400.0,2047.7,8.180,277.7,278.7,1789.0,249.7,9.0,105.7,5.9,0.0,0.0,9.111,5.97,3.88,285.1
35,20,0,0.00,0.00,2400.0,2047.9,8.180,277.9,278.9,1789.3,249.6,9.0,105.7,5.9,0.0,0.0,9.113,5.97,3.88,285.3
35,20,0,0.00,0.00,2400.0,2048.0,8.179,278.2,279.1,1789.6,249.4,9.0,105.6,5.9,0.0,0.0,9.115,5.97,3.88,285.6
35,20,0,0.00,0.00,2400.0,2048.2,8.179,278.4,279.3,1789.9,249.3,9.0,105.6,5.9,0.0,0.0,9.118,5.96,3.88,285.8
35,20,0,0.00,0.00,2400.0,2048.4,8.179,278.6,279.6,1790.2,249.2,9.0,105.5,5.9,0.0,0.0,9.120,5.96,3.87,286.0
35,20,0,0.00,0.00,2400.0,2048.6,8.179,278.8,279.8,1790.5,249.1,9.0,105.5,5.9,0.0,0.0,9.123,5.96,3.87,286.3
35,20,0,0.00,0.00,2400.0,2048.8,8.178,279.1,280.0,1790.8,249.0,9.0,105.4,5.9,0.0,0.0,9.125,5.95,3.87,286.5
35,20,0,0.00,0.00,2400.0,2049.0,8.178,279.3,280.2,1791.1,248.8,9.1,105.4,5.9,0.0,0.0,9.128,5.95,3.87,286.7
35,20,0,0.00,0.00,2400.0,2049.1,8.178,279.5,280.5,1791.3,248.7,9.1,105.3,5.9,0.0,0.0,9.130,5.95,3.87,286.9
35,20,0,0.00,0.00,2400.0,2049.3,8.177,279.7,280.7,1791.6,248.6,9.1,105.3,5.9,0.0,0.0,9.132,5.95,3.86,287.2
35,20,0,0.00,0.00,2400.0,2049.5,8.177,279.9,280.9,1791.9,248.5,9.1,105.3,5.9,0.0,0.0,9.135,5.94,3.86,287.4
35,20,0,0.00,0.00,2400.0,2049.6,8.177,280.1,281.1,1792.1,248.4,9.1,105.2,5.9,0.0,0.0,9.137,5.94,3.86,287.6
35,20,0,0.00,0.00,2400.0,2049.8,8.177,280.3,281.2,1792.4,248.3,9.1,105.2,5.9,0.0,0.0,9.139,5.94,3.86,287.7
35,20,0,0.00,0.00,2400.0,2049.9,8.177,280.5,281.4,1792.6,248.2,9.1,105.1,5.9,0.0,0.0,9.141,5.94,3.86,287.9
35,20,0,0.00,0.00,2400.0,2050.0,8.176,280.6,281.6,1792.8,248.1,9.1,105.1,5.8,0.0,0.0,9.142,5.93,3.86,288.1
35,20,0,0.00,0.00,2400.0,2050.2,8.176,280.8,281.7,1793.0,248.0,9.1,105.1,5.8,0.0,0.0,9.144,5.93,3.86,288.3
35,20,0,0.00,0.00,2400.0,2050.3,8.176,281.0,281.9,1793.2,248.0,9.1,105.0,5.8,0.0,0.0,9.146,5.93,3.85,288.4
35,20,0,0.00,0.00,2400.0,2050.4,8.176,281.1,282.1,1793.4,247.9,9.1,105.0,5.8,0.0,0.0,9.148,5.93,3.85,288.6
35,20,0,0.00,0.00,2400.0,2050.5,8.176,281.3,282.2,1793.6,247.8,9.1,105.0,5.8,0.0,0.0,9.149,5.93,3.85,288.7
35,20,0,0.00,0.00,2400.0,2050.6,8.175,281.4,282.3,1793.8,247.7,9.1,104.9,5.8,0.0,0.0,9.151,5.93,3.85,288.9
35,20,0,0.00,0.00,2400.0,2050.7,8.175,281.5,282.5,1794.0,247.7,9.1,104.9,5.8,0.0,0.0,9.152,5.92,3.85,289.0
35,20,0,0.00,0.00,2400.0,2050.8,8.175,281.6,282.6,1794.1,247.6,9.1,104.9,5.8,0.0,0.0,9.154,5.92,3.85,289.1
35,20,0,0.00,0.00,2400.0,2050.9,8.175,281.7,282.7,1794.2,247.5,9.1,104.8,5.8,0.0,0.0,9.155,5.92,3.85,289.3
35,20,0,0.00,0.00,2400.0,2051.0,8.175,281.8,282.8,1794.4,247.5,9.1,104.8,5.8,0.0,0.0,9.156,5.92,3.85,289.4
35,20,0,0.00,0.00,2400.0,2051.1,8.175,281.9,282.9,1794.5,247.4,9.1,104.8,5.8,0.0,0.0,9.157,5.92,3.85,289.4
35,20,0,0.00,0.00,2400.0,2051.1,8.175,282.0,283.0,1794.6,247.4,9.1,104.8,5.8,0.0,0.0,9.158,5.92,3.85,289.5
35,20,0,0.00,0.00,2400.0,2051.2,8.175,282.1,283.0,1794.6,247.4,9.1,104.8,5.8,0.0,0.0,9.158,5.92,3.85,289.6
35,20,0,0.00,0.00,2400.0,2051.2,8.175,282.1,283.1,1794.7,247.4,9.1,104.8,5.8,0.0,0.0,9.159,5.92,3.85,289.6
35,20,0,0.00,0.00,2400.0,2051.2,8.174,282.1,283.1,1794.7,247.3,9.1,104.8,5.8,0.0,0.0,9.159,5.92,3.84,289.6
35,20,0,0.00,0.00,2400.0,2051.2,8.174,282.1,283.1,1794.7,247.3,9.1,104.8,5.8,0.0,0.0,9.159,5.92,3.84,289.6
35,20,0,0.00,0.00,2400.0,2051.2,8.174,282.1,283.1,1794.7,247.3,9.1,104.8,5.8,0.0,0.0,9.159,5.92,3.84,289.6
35,20,0,0.00,0.00,2400.0,2051.2,8.175,282.1,283.1,1794.7,247.4,9.1,104.8,5.8,0.0,0.0,9.159,5.92,3.85,289.6
35,20,0,0.00,0.00,2400.0,2051.2,8.175,282.1,283.0,1794.6,247.4,9.1,104.8,5.8,0.0,0.0,9.158,5.92,3.85,289.6
35,20,0,0.00,0.00,2400.0,2051.1,8.175,282.0,283.0,1794.6,247.4,9.1,104.8,5.8,0.0,0.0,9.158,5.92,3.85,289.5
35,20,0,0.00,0.00,2400.0,2051.1,8.175,282.0,282.9,1794.5,247.4,9.1,104.8,5.8,0.0,0.0,9.157,5.92,3.85,289.5
35,20,0,0.00,0.00,2400.0,2051.0,8.175,281.9,282.9,1794.4,247.5,9.1,104.8,5.8,0.0,0.0,9.156,5.92,3.85,289.4
35,20,0,0.00,0.00,2400.0,2051.0,8.175,281.8,282.8,1794.4,247.5,9.1,104.8,5.8,0.0,0.0,9.156,5.92,3.85,289.4
35,20,0,0.00,0.00,2400.0,2051.0,8.175,281.8,282.8,1794.3,247.5,9.1,104.8,5.8,0.0,0.0,9.155,5.92,3.85,289.3
35,20,0,0.00,0.00,2400.0,2050.9,8.175,281.8,282.7,1794.3,247.5,9.1,104.8,5.8,0.0,0.0,9.155,5.92,3.85,289.3
35,20,0,0.00,0.00,2400.0,2050.9,8.175,281.7,282.7,1794.2,247.5,9.1,104.8,5.8,0.0,0.0,9.155,5.92,3.85,289.2
35,20,0,0.00,0.00,2400.0,2050.9,8.175,281.7,282.7,1794.2,247.5,9.1,104.8,5.8,0.0,0.0,9.155,5.92,3.85,289.2
35,20,0,0.00,0.00,2400,2050.924072,8.17494297,281.7521667,282.7109985,1794.253793,247.5395548,9.130867295,104.8430736,5.830964919,0,0,9.154786833,5.920504639,3.847863884,289.2546884
35,20,0,0.00,0.00,2400,2050.954346,8.174897194,281.7900085,282.7489929,1794.302468,247.5197327,9.132093971,104.8346687,5.830339831,0,0,9.155202579,5.920030548,3.847555762,289.293548
35,20,0,0.00,0.00,2400,2051.002686,8.174821854,281.8508301,282.8099976,1794.380666,247.4878879,9.134065113,104.8211659,5.829335675,0,0,9.155870629,5.919268902,3.847060751,289.3559914
35,20,0,0.00,0.00,2400,2051.068115,8.17471981,281.9335327,282.8930054,1794.486983,247.4445917,9.136745942,104.8028076,5.827970568,0,0,9.156779178,5.918233369,3.846387737,289.4409168
35,20,0,0.00,0.00,2400,2051.149658,8.174593925,282.0361938,282.9960022,1794.618855,247.3908887,9.140072538,104.7800365,5.826277561,0,0,9.157906545,5.916948931,3.845552953,289.5462992
